plane	u	v	itype	typecode	x0	y0	irot	nvertices	vx_0	vy_0	vx_1	vy_1	vx_2	vy_2	vx_3	vy_3	vx_4	vy_4	vx_5	vy_5	vx_6	vy_6	icassette	trigRate	trigLinks	dataRate_ld	dataLinks_ld	dataRate_hd	dataLinks_hd	MB	wagon	isEngine	nROCs	power	mrot	phi	HDorLD	hash	hash_hdld	engine_trig_fibres	engine_data_fibres	engine_ctrl_fibres	dataPp0	trigPp0	dataPp0_type	trigPp0_type	dataPp1	trigPp1	dataPp1_type	trigPp1_type	dataPp2	DAQ
42	2	4	CM3SRD	CM3SRD	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
43	5	3	WE21A1	WE21A1	540.901	496.029	4	3	5	3	4	2	3	1	-	-	-	ZPHSL0	-	-	-	-	2	7	6	4	3	1	0	7	1	0	0	-	4	-	0	-	-	"TE.6:M1.0,TE.5:M1.1,TE.4:M2.0,TE.3:M2.1,TE.2:M3.0,TE.1:M3.1"	"D1.4:M1.0,D1.5:M2.0,D1.6:M3.0"	0001F2000F2005d20	TE.0:X.0	"TE.1:M3.1,TE.2:M3.0,TE.3:M2.1,TE.4:M2.0,TE.5:M1.1,TE.6:M1.0"	"D1.4:M1.0,D1.5:M2.0,D1.6:M3.0"	-	-	-	-	-	-	-
43	3	1	ZPHSL0	ZPHSL0	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
43	3	1	CM3SRD	CM3SRD	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
9	8	6	WW21D1	WW21D1	791.781	831.949	4	3	8	6	9	7	10	8	-	-	-	ZPHSN0	-	-	-	-	1	7	6	3	3	1	0	5	0	0	0	-	1	-	0	-	-	"TW.0:M1.0,TW.1:M1.1,TW.2:M1.2,TW.3:M2.0,TW.4:M2.1,TW.5:M3.0"	"D1.0:M1.0,D1.1:M2.0,D1.2:M3.0"	0101F3030F2031d10	TW.6:X.0	"TW.0:M1.0,TW.1:M1.1,TW.2:M1.2,TW.3:M2.0,TW.4:M2.1,TW.5:M3.0,TW.6:X.0"	"D1.0:M1.0,D1.1:M2.0,D1.2:M3.0"	-	-	-	-	-	-	-
9	10	8	ZPHSN0	ZPHSN0	-	-	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
9	10	8	CM3HTT	CM3HTT	-	-	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
9	7.5	5.5	EL10W0	EL10W0	800.39	800.86	4	W	7	5	8	6	-	-	-	-	-	-	-	-	-	-	1	14	14	7	5	-	-	5	-	1	-	-	-	-	0	-	-	2	1	1	1	"TW.0:WM1.0,TW.1:WM1.1,TW.2:WM1.2,TW.3:WM2.0,TW.4:WM2.1,TW.5:WM3.0,TW.6:EM1.3,TE.0:EM2.3,TE.1:EM2.2,TE.2:EM2.1,TE.3:EM2.0,TE.4:EM1.2,TE.5:EM1.1,TE.6:EM1.0"	"D1.0:WM1.0,D1.1:WM2.0,D1.2:WM3.0,D1.4:EM1.0,D1.5:EM2.0"	TW.6:X.0:EM1.3	-	-	-	-	-	-
9	2	8	WW21D1	WW21D1	-324.599	1101.677	5	3	2	8	2	9	2	10	-	-	-	ZPHSN0	-	-	-	-	2	7	6	3	3	1	0	105	0	0	0	-	2	-	0	-	-	"TW.0:M1.0,TW.1:M1.1,TW.2:M1.2,TW.3:M2.0,TW.4:M2.1,TW.5:M3.0"	"D1.0:M1.0,D1.1:M2.0,D1.2:M3.0"	0101F3030F2031d10	TW.6:X.0	"TW.0:M1.0,TW.1:M1.1,TW.2:M1.2,TW.3:M2.0,TW.4:M2.1,TW.5:M3.0,TW.6:X.0"	"D1.0:M1.0,D1.1:M2.0,D1.2:M3.0"	-	-	-	-	-	-	-
9	2	10	ZPHSN0	ZPHSN0	-	-	5	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
